Devices,,,,,,,,,,
2000,,,,,,,,,,
,,AMTI-AP - Force,,,AMTI-AP - Moment,,,AMTI-AP - CoP,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,48.2301,-108.027,836.765,61895.7,-127707,-9826.01,152.62,73.9703,0.000023045
1,1,48.3062,-108.814,838.122,60979.2,-128412,-9622.3,153.214,72.757,0.0000231347
1,2,48.3824,-109.601,839.479,60062.7,-129117,-9418.59,153.806,71.5476,0.0000232241
1,3,48.4888,-110.094,837.921,60236.6,-128983,-9424.88,153.933,71.8882,0.0000232432
1,4,48.5952,-110.586,836.363,60410.5,-128850,-9431.17,154.06,72.2301,0.0000232624
1,5,48.2953,-109.853,836.406,60687,-128592,-9693.51,153.743,72.5569,0.0000232146
1,6,47.9954,-109.12,836.451,60963.5,-128334,-9955.85,153.426,72.8836,0.0000231667
1,7,48.2663,-109.124,834.651,61353.7,-127761,-9800,153.071,73.5082,0.0000231131
2,0,48.5371,-109.127,832.851,61743.8,-127188,-9644.15,152.714,74.1355,0.0000230592
2,1,48.2314,-108.727,835.506,60054.9,-128692,-9779.75,154.028,71.8785,0.0000232576
2,2,47.9256,-108.327,838.161,58366,-130195,-9915.34,155.335,69.6359,0.0000234549
2,3,47.53,-107.825,836.942,59965.3,-129420,-10302,154.634,71.6481,0.0000233491
2,4,47.1344,-107.323,835.724,61564.5,-128644,-10688.6,153.932,73.6661,0.000023243
2,5,47.3331,-107.232,834.584,60467.1,-128443,-10913.3,153.901,72.4518,0.0000232383
2,6,47.5318,-107.141,833.444,59369.7,-128242,-11137.9,153.869,71.2342,0.0000232336
2,7,47.4987,-107.89,832.433,59491.6,-127830,-10556.5,153.561,71.4671,0.0000231871
3,0,47.4655,-108.64,831.423,59613.5,-127418,-9975.15,153.253,71.7006,0.0000231405
3,1,48.466,-108.411,832.775,60177,-127461,-9541.84,153.056,72.2609,0.0000231108
3,2,49.4664,-108.183,834.127,60740.6,-127505,-9108.54,152.86,72.8194,0.0000230813
3,3,49.2134,-107.756,831.339,59945.7,-127571,-9653.18,153.453,72.1074,0.0000231708
3,4,48.9604,-107.329,828.551,59150.7,-127638,-10197.8,154.049,71.3905,0.0000232608
3,5,49.0425,-106.714,833.147,60469.3,-127919,-9840.93,153.537,72.5794,0.0000231834
3,6,49.1247,-106.098,837.743,61787.8,-128199,-9484.05,153.029,73.7551,0.0000231068
3,7,49.6632,-106.257,833.81,59779.5,-128085,-9489.18,153.615,71.6944,0.0000231952
4,0,50.2017,-106.417,829.877,57771.1,-127972,-9494.32,154.206,69.6141,0.0000232844
4,1,50.0879,-106.985,833.333,58556.7,-128344,-8955.52,154.013,70.2681,0.0000232553
4,2,49.9742,-107.554,836.79,59342.4,-128717,-8416.73,153.822,70.9167,0.0000232265
4,3,50.7123,-107.295,837.48,59768.5,-129025,-8095.7,154.064,71.3671,0.000023263
4,4,51.4504,-107.037,838.169,60194.6,-129334,-7774.67,154.305,71.8167,0.0000232995
4,5,52.3359,-106.113,832.31,59809.3,-127813,-8217.56,153.564,71.8594,0.0000231875
4,6,53.2215,-105.189,826.451,59424.1,-126291,-8660.45,152.811,71.9027,0.0000230739
4,7,54.0628,-105.446,824.072,59315.6,-125852,-7840.61,152.72,71.9787,0.00002306
5,0,54.9041,-105.703,821.693,59207.1,-125413,-7020.77,152.628,72.055,0.0000230461
5,1,54.6268,-106.433,825.442,59575,-125857,-6593.36,152.472,72.1735,0.0000230226
