FuerzaX1X;FuerzaY2Y;FuerzaZp
12.5;-3.2;45.1
-8.1;5.7;22.3
15.0;-1.0;38.9
-5.4;8.2;15.6
20.3;-6.5;50.2
-12.7;3.1;28.4
9.8;-9.4;41.7
-3.6;7.0;19.8
18.2;-2.8;47.5
-7.5;4.3;33.1
11.0;-5.9;25.6
-14.3;6.8;44.2
16.7;-0.5;39.8
-9.2;8.9;17.3
22.1;-7.3;52.4
-4.8;2.6;31.5
13.5;-8.1;46.9
-11.4;5.4;23.7
19.6;-3.9;48.3
-6.3;7.7;35.2
10.2;-4.6;27.8
-15.8;9.1;42.6
17.4;-1.3;40.5
-8.7;6.2;20.1
21.5;-8.5;53.7
-5.1;3.8;34.9
14.8;-6.7;49.1
-13.2;4.9;26.3
18.9;-2.1;45.8
-7.0;8.5;37.4
12.1;-5.3;29.6
-16.5;7.4;43.1
20.8;-0.8;51.3
-9.6;5.1;21.9
15.3;-9.2;47.2
-4.2;6.6;36.8
19.1;-3.5;44.5
-11.8;8.0;24.7
13.7;-7.1;50.9
-6.9;4.5;32.3
17.0;-1.7;46.1
-14.6;9.3;28.9
22.4;-8.8;54.2
-5.5;2.9;38.6
10.6;-6.0;25.1
-18.3;7.8;41.4
16.2;-4.2;49.7
-8.4;5.6;33.8
14.1;-2.5;43.9
-12.0;8.7;27.5
CentroPresionAA;CentroPresionB;
2.34;1.56;
-1.87;3.42;
4.12;-0.98;
0.56;2.78;
-3.21;1.05;
2.89;-2.34;
-0.45;4.67;
3.78;0.23;
-2.56;-1.89;
1.34;3.56;
-4.02;0.78;
2.67;-3.12;
0.89;2.45;
-1.23;4.01;
3.45;-0.67;
-2.78;1.90;
1.56;3.34;
-3.90;-1.23;
2.12;2.89;
-0.78;4.56;
3.34;0.12;
-2.01;-2.67;
1.78;3.90;
-4.23;1.34;
2.45;-0.45;
-1.56;2.78;
3.67;1.01;
-2.34;-1.56;
1.01;4.23;
-3.45;0.89;
2.78;3.12;
-0.90;-2.34;
1.45;2.56;
-3.78;1.67;
2.01;-0.23;
-1.12;4.45;
3.56;0.78;
-2.67;-1.90;
1.89;3.23;
-4.01;1.12;
2.34;-0.56;
-1.78;2.90;
3.12;1.45;
-2.45;-1.67;
1.67;4.01;
-3.89;0.56;
2.56;2.34;
-0.67;-2.12;
1.23;3.78;
-3.34;1.90;
