Frame;Time_s;Fx_N;Fy_N;Fz_N;Mx_Nm;My_Nm;Mz_Nm;COPx_mm;COPy_mm
1;0.0;2.536;-0.169;2.454;0.04;0.0008;-0.0024;-0.443;4.422
2;0.001;-0.699;-0.366;6.684;-0.0131;-0.0001;0.0082;0.863;7.923
3;0.002;0.049;0.88;8.546;0.014;0.013;0.0004;1.661;6.95
4;0.003;0.611;1.29;-2.988;0.0136;0.0092;0.0026;1.142;-3.61
5;0.004;-1.183;0.501;3.056;-0.0268;0.0108;-0.0037;-2.095;-1.055
6;0.005;0.003;1.418;5.764;-0.0131;0.0154;0.0024;-0.219;8.313
7;0.006;-0.001;1.123;3.604;0.0026;0.0327;0.0021;0.073;10.457
8;0.007;-2.632;0.807;-1.201;-0.0515;0.0161;-0.0036;3.197;0.79
9;0.008;1.526;0.635;7.391;0.039;0.0244;0.0034;8.184;-2.948
10;0.009;0.901;1.315;7.666;0.018;0.0253;-0.0069;-7.163;-10.98
11;0.01;-0.938;-0.612;5.152;-0.0085;-0.0211;0.0001;8.657;-4.051
12;0.011;-0.257;-1.311;2.349;-0.008;-0.0359;-0.0025;-1.424;2.006
13;0.012;0.758;1.055;4.308;0.0217;0.0208;0.0069;-4.195;3.083
14;0.013;-0.392;1.148;3.266;0.002;0.0076;-0.0022;4.248;-6.524
15;0.014;-0.364;1.993;3.779;-0.0129;0.0366;0.0004;-5.187;1.212
16;0.015;-2.18;-0.069;6.311;-0.0434;-0.0104;-0.0;-4.781;-0.549
17;0.016;0.832;-1.345;7.759;0.0247;-0.0141;-0.0044;-0.355;0.208
18;0.017;0.186;0.497;6.461;-0.0021;0.0131;-0.0035;-9.542;9.13
19;0.018;0.412;1.76;3.652;0.0293;0.0483;-0.0086;-6.889;-0.641
20;0.019;-2.29;-0.675;2.902;-0.0449;-0.004;0.0006;0.094;1.948
21;0.02;2.476;-0.139;6.644;0.0414;0.0005;-0.0033;-6.891;3.934
22;0.021;0.232;-0.63;0.731;-0.0047;-0.0128;-0.0033;7.272;6.008
23;0.022;-0.581;-1.784;1.876;-0.0003;-0.0315;-0.0035;3.224;-2.515
24;0.023;3.044;1.473;5.73;0.0719;0.0244;-0.0112;-7.958;-5.741
25;0.024;-0.068;-0.483;2.465;-0.0093;-0.0055;-0.0042;4.852;-5.632
26;0.025;-2.176;1.959;4.875;-0.0433;0.0305;0.0113;-4.929;4.116
27;0.026;-0.608;-0.464;3.859;-0.0208;-0.0197;-0.0061;-1.908;3.162
28;0.027;-3.432;-2.062;5.868;-0.0829;-0.0341;0.0027;4.869;1.056
29;0.028;1.574;-1.097;7.238;0.0333;-0.0195;-0.0058;4.392;-5.982
30;0.029;-0.625;-1.141;4.48;-0.0027;-0.0267;0.0036;-1.386;-6.494
31;0.03;-1.114;-0.828;4.243;-0.005;-0.0084;-0.0076;3.823;7.509
32;0.031;1.609;-0.267;7.035;0.0225;-0.0033;-0.0052;-4.986;-2.478
33;0.032;-2.477;-0.435;7.986;-0.0481;-0.0163;0.0033;1.682;-4.185
34;0.033;0.803;1.974;6.371;0.0192;0.0166;-0.0005;0.736;2.266
35;0.034;-3.097;-2.68;3.569;-0.0526;-0.038;-0.0074;-3.195;0.261
36;0.035;-0.993;-1.214;8.595;-0.0283;-0.0302;-0.002;-0.219;13.589
37;0.036;-1.806;0.13;2.396;-0.0272;-0.0086;-0.0012;3.175;0.215
38;0.037;2.193;0.896;3.517;0.0357;0.0234;-0.0044;4.44;6.294
39;0.038;2.649;0.131;4.153;0.0566;-0.0108;0.004;-8.173;-2.196
40;0.039;-0.494;-0.039;7.443;-0.0085;-0.0107;-0.0065;5.548;3.271
41;0.04;1.261;0.643;2.083;0.0235;0.0051;0.0087;-6.312;1.395
42;0.041;-0.27;-0.23;2.795;0.0057;-0.0073;-0.0092;5.558;6.161
43;0.042;0.852;-0.345;7.209;0.002;-0.0147;-0.0045;1.71;6.537
44;0.043;-1.129;0.442;11.624;-0.0153;0.0242;-0.0002;-1.827;-0.469
45;0.044;-2.563;-1.737;3.936;-0.05;-0.0307;0.0037;-3.593;-0.157
46;0.045;-2.705;0.013;2.525;-0.0514;0.008;-0.0022;-7.865;-6.364
47;0.046;0.575;-0.947;1.463;-0.0047;-0.0259;0.0003;-0.742;-5.046
