Frame,micro,Fx,Force_Y,Fz1
1,0,3.27,487.01,94.88
1,1,3.27,466.75,91.23
1,2,3.27,489.16,95.26
2,0,15.32,579.8,95.9
2,1,15.22,575.02,95.1
2,2,15.19,573.63,94.87
2,3,15.08,568.65,94.03
3,0,27.03,678.94,109.03
3,1,27.43,690.17,110.78
3,2,27.39,688.92,110.59
3,3,27.93,704.01,112.94
3,4,27.49,691.66,111.01
3,5,27.4,689.1,110.62
3,6,26.91,675.66,108.52
4,0,42.05,747.63,109.93
4,1,39.86,701.34,103.15
4,2,41.42,734.27,107.97
4,3,42.7,761.47,111.96
4,4,40.97,724.71,106.57
5,0,48.03,843.8,110.67
5,1,49.27,866.14,113.77
6,0,62.04,938.12,117.43
6,1,61.12,923.43,115.49
6,2,59.16,892.19,111.36
6,3,60.71,916.92,114.63
6,4,60.54,914.11,114.26
6,5,58.93,888.53,110.87
6,6,58.49,881.47,109.94
6,7,58.71,884.88,110.39
7,0,64.8,893.71,125.45
7,1,66.76,922.44,129.1
8,0,60.33,898.63,119.43
8,1,62.37,926.67,122.88
8,2,62.71,931.39,123.46
8,3,65.33,967.54,127.91
8,4,65.21,965.88,127.7
9,0,68.13,930.19,109.86
9,1,67.89,927.06,109.48
9,2,69.51,948.35,112.04
9,3,70.26,958.14,113.21
9,4,67.55,922.62,108.95
9,5,70.93,966.93,114.26
9,6,67.8,925.93,109.35
9,7,71.75,977.64,115.55
10,0,68.74,911.15,102.17
10,1,66.93,888.23,99.47
10,2,68.7,910.61,102.1
10,3,65.8,873.81,97.77
10,4,69.38,919.17,103.11
10,5,71.86,950.62,106.81
11,0,81.23,923.3,103.82
11,1,81.85,931.0,104.72
11,2,80.12,909.61,102.23
12,0,75.55,853.89,103.2
12,1,74.7,843.42,101.99
12,2,76.61,867.03,104.72
12,3,73.86,833.02,100.79
12,4,71.77,807.3,97.81
13,0,65.46,810.96,92.4
13,1,70.8,877.62,100.1
13,2,69.87,866.11,98.77
13,3,68.47,848.56,96.74
13,4,67.58,837.47,95.46
13,5,70.06,868.39,99.03
13,6,72.14,894.43,102.04
13,7,68.2,845.15,96.35
14,0,66.22,814.08,98.62
14,1,67.09,825.3,99.92
14,2,67.87,835.42,101.09
14,3,65.65,806.59,97.76
15,0,49.98,750.71,93.55
16,0,45.99,745.65,88.09
16,1,42.3,688.34,81.4
16,2,46.21,749.08,88.49
16,3,42.33,688.81,81.46
16,4,43.58,708.26,83.73
17,0,34.19,712.26,84.47
17,1,33.41,698.05,82.81
17,2,33.62,701.94,83.26
17,3,36.87,761.19,90.19
18,0,29.17,693.49,85.5
18,1,28.15,669.92,82.75
19,0,24.04,714.72,72.85
20,0,14.19,663.1,83.41
20,1,13.91,646.72,81.52
20,2,13.86,643.9,81.19
20,3,14.17,661.98,83.28
20,4,14.35,671.97,84.43
20,5,14.19,662.7,83.36
20,6,13.89,645.66,81.39
21,0,2.14,699.97,73.38
21,1,2.11,693.37,72.62
21,2,1.91,654.78,68.21
21,3,2.0,672.24,70.21
21,4,1.86,644.86,67.08
21,5,2.03,677.22,70.78
22,0,2.35,712.2,81.55
23,0,-18.27,643.44,74.16
24,0,-14.28,679.95,78.08
24,1,-14.37,683.71,78.5
24,2,-14.16,675.69,77.61
24,3,-14.53,689.56,79.15
25,0,-16.81,656.88,63.36
26,0,-29.87,622.99,67.42
26,1,-28.39,587.1,63.44
27,0,-27.28,576.87,81.3
27,1,-26.5,560.68,79.49
27,2,-27.57,582.98,81.99
27,3,-26.97,570.37,80.57
28,0,-31.25,587.94,59.54
28,1,-30.21,568.97,57.38
28,2,-29.78,561.14,56.49
28,3,-31.52,592.9,60.1
28,4,-30.83,580.24,58.66
28,5,-31.71,596.36,60.49
28,6,-31.52,592.95,60.11
29,0,-24.17,491.53,53.82
29,1,-24.08,490.02,53.65
29,2,-24.66,499.33,54.72
29,3,-24.1,490.29,53.68
29,4,-24.63,498.87,54.67
29,5,-25.03,505.4,55.43
29,6,-26.78,533.63,58.69
30,0,-31.52,400.36,46.45
30,1,-32.89,419.62,48.74
30,2,-32.19,409.84,47.58
31,0,-17.83,343.31,50.7
31,1,-18.56,352.07,51.76
31,2,-18.87,355.85,52.22
31,3,-19.47,363.02,53.1
31,4,-18.69,353.65,51.96
31,5,-17.18,335.56,49.75
31,6,-17.37,337.84,50.03
31,7,-19.8,367.02,53.58
32,0,-27.97,270.11,20.19
32,1,-29.06,280.8,21.53
33,0,-19.06,211.14,22.65
33,1,-18.83,209.37,22.43
33,2,-17.95,202.75,21.6
33,3,-17.1,196.36,20.79
33,4,-17.54,199.67,21.21
33,5,-16.69,193.27,20.4
33,6,-18.15,204.26,21.79
34,0,-24.05,128.84,21.72
34,1,-25.33,135.35,22.49
34,2,-25.37,135.55,22.51
35,0,-25.43,54.08,11.34
36,0,-23.57,16.05,4.99
36,1,-23.02,15.84,5.14
37,0,-20.0,-37.54,-13.42
37,1,-20.37,-38.05,-13.71
37,2,-20.61,-38.39,-13.9
37,3,-18.97,-36.1,-12.6
37,4,-20.03,-37.57,-13.44
37,5,-19.9,-37.4,-13.34
37,6,-19.74,-37.18,-13.22
37,7,-19.86,-37.35,-13.31
38,0,-24.68,-38.41,-23.17
39,0,-33.59,-60.1,-34.89
39,1,-33.18,-59.13,-34.2
39,2,-33.22,-59.22,-34.26
39,3,-31.93,-56.15,-32.07
39,4,-33.31,-59.44,-34.42
39,5,-33.54,-59.98,-34.81
40,0,-18.13,-45.13,-53.57
41,0,-32.27,-14.27,-49.47
41,1,-32.13,-14.32,-49.18
41,2,-31.13,-14.7,-47.04
41,3,-32.06,-14.35,-49.03
42,0,-24.86,54.48,-51.55
42,1,-24.32,53.06,-50.39
42,2,-24.51,53.55,-50.79
42,3,-24.06,52.37,-49.83
42,4,-25.91,57.23,-53.79
43,0,-24.82,121.57,-63.64
44,0,-21.36,198.47,-49.39
44,1,-21.0,195.72,-48.72
45,0,-28.92,286.41,-33.3
45,1,-28.32,280.52,-32.36
46,0,-41.87,343.26,-44.79
46,1,-40.68,328.93,-43.28
46,2,-41.52,339.03,-44.34
46,3,-41.55,339.38,-44.38
46,4,-41.86,343.12,-44.77
46,5,-40.52,327.07,-43.09
46,6,-41.36,337.09,-44.14
47,0,-25.19,394.93,-23.17
47,1,-26.44,412.59,-24.31
47,2,-25.54,399.88,-23.49
47,3,-24.1,379.65,-22.18
47,4,-26.64,415.3,-24.49
48,0,-36.76,514.34,-13.81
48,1,-34.47,477.37,-12.61
48,2,-34.31,474.77,-12.53
48,3,-34.07,470.99,-12.41
48,4,-35.02,486.31,-12.9
49,0,-32.02,563.5,-1.3
49,1,-30.45,534.77,-1.18
49,2,-30.22,530.64,-1.17
50,0,-27.21,617.21,12.81
51,0,-36.15,593.01,18.64
51,1,-37.81,633.31,20.56
51,2,-38.61,652.72,21.49
51,3,-38.24,643.69,21.06
52,0,-23.17,633.52,41.69
53,0,-10.35,639.39,67.31
53,1,-11.46,681.9,71.5
53,2,-11.37,678.3,71.15
54,0,-2.63,684.41,92.2
54,1,-2.34,667.22,90.06
54,2,-2.54,679.31,91.56
55,0,2.31,671.31,102.79
55,1,2.03,713.88,109.16
56,0,-1.9,717.1,122.74
56,1,-2.13,672.21,114.95
56,2,-1.91,716.11,122.57
57,0,13.84,665.24,136.51
57,1,14.12,681.38,139.65
57,2,14.16,683.29,140.02
57,3,13.44,642.86,132.15
58,0,22.93,712.49,138.2
58,1,21.95,680.74,131.49
58,2,21.5,665.89,128.36
58,3,21.86,677.56,130.82
58,4,21.6,669.01,129.02
58,5,22.55,700.14,135.59
59,0,35.36,680.65,160.02
59,1,36.67,710.89,166.74
60,0,37.55,726.22,172.94
61,0,49.95,720.96,151.17
61,1,50.26,725.89,152.28
61,2,53.73,779.59,164.37
61,3,49.54,714.59,149.74
61,4,53.14,770.45,162.31
62,0,51.55,778.25,167.65
62,1,50.8,767.86,165.39
62,2,48.68,738.42,158.97
62,3,50.28,760.65,163.82
62,4,50.32,761.15,163.93
62,5,50.36,761.73,164.05
63,0,71.37,838.77,176.24
63,1,66.55,776.19,163.32
63,2,65.82,766.65,161.35
63,3,68.74,804.59,169.19
64,0,68.19,844.1,154.86
64,1,71.62,887.07,163.12
64,2,72.34,895.99,164.83
64,3,68.46,847.59,155.53
65,0,76.27,914.56,151.97
65,1,71.8,859.45,142.25
65,2,76.9,922.25,153.33
65,3,73.98,886.22,146.97
65,4,75.29,902.46,149.84
65,5,71.94,861.15,142.55
65,6,74.67,894.74,148.48
66,0,78.06,899.1,139.08
66,1,80.58,930.42,144.1
66,2,77.62,893.64,138.21
66,3,79.06,911.49,141.07
66,4,82.2,950.42,147.3
66,5,79.88,921.71,142.7
66,6,82.0,947.96,146.91
66,7,82.31,951.86,147.54
67,0,72.47,935.39,125.55
67,1,71.08,917.83,123.02
67,2,76.33,984.25,132.6
67,3,71.32,920.87,123.46
67,4,76.22,982.95,132.41
67,5,71.48,922.85,123.75
68,0,71.33,953.69,126.95
68,1,65.0,870.72,116.26
68,2,71.65,957.94,127.5
68,3,69.33,927.47,123.57
68,4,69.17,925.47,123.31
68,5,70.06,937.12,124.82
68,6,69.08,924.26,123.16
69,0,66.46,940.37,101.47
69,1,67.02,948.07,102.35
69,2,64.65,915.48,98.62
69,3,67.55,955.36,103.18
70,0,51.26,863.38,76.23
70,1,55.41,924.25,82.33
70,2,55.31,922.73,82.18
70,3,54.63,912.83,81.18
70,4,54.53,911.36,81.04
71,0,49.66,901.2,58.93
71,1,49.35,896.35,58.51
71,2,51.61,932.34,61.65
71,3,50.29,911.29,59.81
71,4,51.29,927.25,61.2
71,5,49.58,899.98,58.83
71,6,51.64,932.87,61.69
71,7,48.1,876.27,56.76
72,0,56.59,812.12,56.89
73,0,30.5,812.56,46.5
73,1,29.95,800.88,45.78
73,2,29.44,790.0,45.11
73,3,28.25,764.97,43.56
73,4,28.45,769.02,43.81
73,5,30.37,809.78,46.33
74,0,21.36,703.01,48.15
74,1,21.28,700.89,48.04
74,2,21.55,708.24,48.4
74,3,20.45,677.67,46.91
74,4,20.65,683.22,47.18
74,5,22.0,720.69,49.01
75,0,17.69,635.64,27.36
75,1,16.94,599.84,26.09
75,2,17.07,605.78,26.3
76,0,3.48,489.57,7.48
76,1,3.48,499.05,7.67
76,2,3.48,510.44,7.9
77,0,-14.42,407.82,7.38
77,1,-14.95,425.16,7.42
77,2,-14.56,412.5,7.39
77,3,-15.19,433.08,7.43
78,0,-24.27,316.17,3.47
78,1,-25.99,338.29,3.02
78,2,-26.02,338.64,3.01
78,3,-24.42,318.04,3.43
78,4,-24.59,320.27,3.38
78,5,-26.35,342.92,2.92
79,0,-25.43,243.26,-6.32
79,1,-24.96,240.19,-6.17
79,2,-26.76,252.01,-6.75
80,0,-37.65,162.25,-12.01
80,1,-38.28,164.53,-12.22
80,2,-39.53,169.11,-12.63
80,3,-41.37,175.81,-13.24
80,4,-41.99,178.08,-13.44
80,5,-40.54,172.77,-12.96
80,6,-38.37,164.87,-12.25
81,0,-52.7,131.77,-15.88
81,1,-51.75,129.77,-15.59
81,2,-53.07,132.53,-15.99
82,0,-59.97,82.68,-15.24
82,1,-64.74,88.67,-16.55
82,2,-59.01,81.48,-14.98
82,3,-58.79,81.2,-14.92
82,4,-61.01,83.99,-15.53
82,5,-63.91,87.63,-16.32
82,6,-59.6,82.22,-15.14
82,7,-60.92,83.88,-15.51
83,0,-68.16,75.96,-13.36
83,1,-71.44,78.78,-14.12
84,0,-66.2,54.94,-15.84
85,0,-76.34,39.55,2.08
85,1,-74.73,38.12,2.3
85,2,-79.74,42.59,1.62
85,3,-75.49,38.79,2.19
85,4,-77.59,40.67,1.91
85,5,-76.87,40.02,2.01
85,6,-80.14,42.94,1.56
85,7,-74.71,38.1,2.3
86,0,-74.98,88.81,-20.87
86,1,-77.94,92.37,-21.12
87,0,-67.71,131.24,5.22
88,0,-67.22,167.07,10.94
88,1,-69.86,173.17,11.04
88,2,-67.19,167.01,10.94
88,3,-69.37,172.06,11.02
88,4,-67.91,168.66,10.96
88,5,-68.16,169.25,10.97
89,0,-56.81,210.82,5.27
89,1,-57.49,212.93,5.34
90,0,-47.09,225.49,16.82
90,1,-50.33,238.99,17.43
91,0,-42.4,247.51,6.92
91,1,-42.62,248.7,6.98
91,2,-43.49,253.51,7.24
91,3,-44.38,258.39,7.5
92,0,-43.62,296.37,16.26
93,0,-22.98,304.72,15.57
94,0,-23.73,346.22,13.93
94,1,-23.1,336.56,13.3
95,0,-4.34,326.41,13.79
95,1,-4.58,332.8,14.23
96,0,-2.95,319.17,27.63
96,1,-2.92,316.15,27.42
96,2,-3.09,332.52,28.57
96,3,-3.06,329.95,28.39
96,4,-3.18,340.58,29.14
96,5,-3.16,338.83,29.02
97,0,0.33,357.87,30.78
97,1,0.29,354.45,30.53
97,2,0.12,342.11,29.62
97,3,0.05,337.12,29.26
97,4,0.1,340.69,29.52
97,5,0.15,344.18,29.78
98,0,2.64,329.51,30.33
98,1,1.94,309.58,28.83
98,2,2.06,312.9,29.08
99,0,24.25,353.75,14.0
100,0,24.96,369.8,19.34
100,1,25.43,377.05,19.92
100,2,25.28,374.77,19.74
101,0,27.2,369.79,25.44
101,1,26.45,359.09,24.57
101,2,25.98,352.38,24.03
101,3,27.22,370.07,25.46
101,4,28.0,381.21,26.37
102,0,26.75,375.39,23.38
103,0,35.4,448.62,41.42
103,1,34.26,431.49,39.99
103,2,35.43,449.07,41.46
103,3,36.8,469.54,43.17
103,4,36.1,458.98,42.29
103,5,36.24,461.13,42.47
104,0,28.62,523.5,47.57
104,1,26.03,480.61,43.94
104,2,26.75,492.46,44.94
104,3,27.06,497.57,45.38
104,4,26.84,493.94,45.07
104,5,27.34,502.35,45.78
104,6,28.81,526.66,47.84
105,0,44.78,604.67,40.89
106,0,34.28,620.06,66.77
107,0,36.77,704.19,69.23
107,1,36.01,684.54,67.45
107,2,35.7,676.45,66.72
107,3,36.05,685.36,67.53
107,4,35.55,672.63,66.37
107,5,36.11,687.14,67.69
107,6,36.19,689.03,67.86
107,7,36.41,694.92,68.39
108,0,40.51,786.72,78.35
108,1,41.75,824.35,81.88
